LicenceNumber,House,Street,Unit,City,PostalCode,LicenceType,IssueDate,OBJECTID
14-011038,604,AMESBURY AVE,,MISSISSAUGA,L5R 3J5,Second Unit,2014-10-06,1
14-012369,740,ANNAMORE RD,,MISSISSAUGA,L4Y2V7,Second Unit,2014-10-28,2
15-012553,5227,ASTWELL AVE,,MISSISSAUGA,L5R3H8,Second Unit,2015-12-07,3
14-009367,3032,BALLAD DR,,MISSISSAUGA,L4T1Z7,Second Unit,2014-09-16,4
15-001777,1801,BALSAM AVE,,MISSISSAUGA,L5J1L3,Second Unit,2015-02-05,5
15-012472,1491,BANCROFT DR,,MISSISSAUGA,L5V 1M3,Second Unit,2015-12-07,6
15-007735,221,BARONDALE DR,,MISSISSAUGA,L4Z 3N7,Second Unit,2015-10-30,7
15-001785,3014,BAYBERRY DR,,MISSISSAUGA,L5N 6N4,Second Unit,2015-09-16,8
15-001913,5783,BELL HARBOUR DR,,MISSISSAUGA,L5M 5L3,Second Unit,2016-01-20,9
14-009921,4125,BISHOPSTOKE LANE,,MISSISSAUGA,L4Z 1J1,Second Unit,2014-09-05,10
15-001876,4597,BISMARK CRES,,MISSISSAUGA,L5R 1K1,Second Unit,2015-06-12,11
15-010573,74,BONHAM BLVD,,MISSISSAUGA,L5M 2N8,Second Unit,2015-10-06,12
15-009316,4160,BRANDON GATE DR,,MISSISSAUGA,L4T3P2,Second Unit,2016-02-10,13
15-009735,5684,BRIGHTPOOL CR,,MISSISSAUGA,L5M3W3,Second Unit,2015-09-23,14
14-012807,1622,BRISTOL RD W,,MISSISSAUGA,L5M 4B5,Second Unit,2015-11-12,15
15-009756,3269,BRUZAN  CRES,,MISSISSAUGA,L5N 8E2,Second Unit,2015-11-03,16
15-002371,9,BURLINGTON ST,,MISSISSAUGA,L4T1B6,Second Unit,2015-08-17,17
14-012994,1615,CAROLYN RD,,MISSISSAUGA,L5M2C9,Second Unit,2015-12-22,18
14-009791,7446,CATALPA RD,,MISSISSAUGA,L4T 2T3,Second Unit,2014-09-16,19
14-010085,4,CATTRICK ST,,MISSISSAUGA,L4T 1H5,Second Unit,2015-11-20,20
15-012896,4135,CHADBURN CRES,,MISSISSAUGA,L5L 3X1,Second Unit,2016-01-08,21
14-012387,1050,CHARMINSTER CRES,,MISSISSAUGA,L5V 1R1,Second Unit,2014-11-11,22
15-001929,1110,CHARMINSTER CRES,,MISSISSAUGA,L5V 1P9,Second Unit,2016-01-14,23
14-013369,1496,CHIDDINGSTONE CIR,,MISSISSAUGA,L5M 3P4,Second Unit,2014-12-03,24
14-013647,7043,CHIGWEL CRT,,MISSISSAUGA,L4T 1N3,Second Unit,2015-02-18,25
14-010709,3270,CLARA DR,,MISSISSAUGA,L4T2C7,Second Unit,2014-09-16,26
14-010879,7282,COLLETT RD,,MISSISSAUGA,L4T 2H7,Second Unit,2015-01-08,27
14-008827,3224,COLONIAL DR,,MISSISSAUGA,L5L 5K8,Second Unit,2014-08-01,28
15-004363,3340,COLONIAL DR,,MISSISSAUGA,L5L5A6,Second Unit,2015-07-23,29
14-011647,3649,COLONIAL DR,,MISSISSAUGA,L5L4N2,Second Unit,2015-07-24,30
15-003537,5568,COSMIC CR,,MISSISSAUGA,L4Z3S1,Second Unit,2016-02-22,31
14-003245,2417,CULVER WAY,,MISSISSAUGA,L5B2P8,Second Unit,2014-07-10,32
15-002484,551,DARALEA  HTS,,MISSISSAUGA,L5A 3H7,Second Unit,2015-08-12,33
15-009311,7626,DARCEL AVE,,MISSISSAUGA,L4T2Y1,Second Unit,2016-02-05,34
15-002363,3711,DARLA DR,,MISSISSAUGA,L4T2E1,Second Unit,2015-02-25,35
14-011585,3373,DELFI RD,,MISSISSAUGA,L5L 1S1,Second Unit,2014-11-27,36
14-012226,7315,DELLAPORT DR,,MISSISSAUGA,L4T 2Y3,Second Unit,2015-01-05,37
14-011394,6085,DOUGUY BLVD,,MISSISSAUGA,L5V 1B2,Second Unit,2014-11-10,38
14-005556,6134,DUFORD DR,,MISSISSAUGA,L5V1A6,Second Unit,2014-09-30,39
14-010861,6528,EASTRIDGE RD,,MISSISSAUGA,L5N 4K9,Second Unit,2015-01-16,40
14-011678,3152,ECLIPSE AVE,Unit 1A,MISSISSAUGA,L5M 7X1,Second Unit,2014-10-17,41
15-001803,4185,ELORA DR,,MISSISSAUGA,L5B 2Y7,Second Unit,2015-02-23,42
15-003532,3428,ERIN CENTRE BLVD,,MISSISSAUGA,L5M 8C2,Second Unit,2015-03-23,43
15-009290,3245,ESCADA RD,,MISSISSAUGA,,Second Unit,2016-02-09,44
15-003807,1126,EWING CRES,,MISSISSAUGA,L5V1C1,Second Unit,2016-01-07,45
15-009282,455,FENDALTON ST,,MISSISSAUGA,L5B2L8,Second Unit,2015-11-03,46
15-003413,1037,FOXGLOVE PL,,MISSISSAUGA,L5V 2N5,Second Unit,2015-03-17,47
15-002561,5467,FRESHWATER DR,,MISSISSAUGA,L5M 0J8,Second Unit,2016-01-26,48
14-012468,3263,GALBRAITH DR,,MISSISSAUGA,L5L4A8,Second Unit,2015-02-17,49
14-013324,499,GALEDOWNS CRT,,MISSISSAUGA,L5A 3J1,Second Unit,2014-12-03,50
15-007910,1222,GALESWAY BLVD,,MISSISSAUGA,L5V 2V6,Second Unit,2015-07-24,51
14-011132,4457,GLADEBROOK CR,,MISSISSAUGA,L5V1E4,Second Unit,2014-10-16,52
15-002418,332,GLENN HAWTHORNE BL,,MISSISSAUGA,L5R2L9,Second Unit,2015-12-14,53
14-013713,295,GLENN HAWTHORNE BLVD,,MISSISSAUGA,L5R 2M2,Second Unit,2015-01-05,54
15-002950,4249,GOLDENROD CRES,,MISSISSAUGA,L5V 3C2,Second Unit,2015-04-24,55
14-006860,7092,GOREWAY DR,,MISSISSAUGA,L4T2T6,Second Unit,2014-10-06,56
14-012752,5975,GROSSBEAK DR,,MISSISSAUGA,L5N6B3,Second Unit,2015-11-16,57
14-007017,4400,GUILDWOOD WAY,,MISSISSAUGA,L5R 2A9,Second Unit,2014-06-24,58
15-012941,4405,GUILDWOOD WAY,,MISSISSAUGA,L5R2A9,Second Unit,2015-12-16,59
15-002354,5015,GUILDWOOD WAY,,MISSISSAUGA,L5R2R7,Second Unit,2015-08-28,60
15-009647,5264,GUILDWOOD WAY,,MISSISSAUGA,L5R 3J5,Second Unit,2015-10-20,61
15-012546,949,HAMPSTEAD CRT,,MISSISSAUGA,L5C 3L1,Second Unit,2016-01-15,62
15-002459,3063,HAROLD SHEARD DR,,MISSISSAUGA,L4T1V4,Second Unit,2016-02-12,63
15-006594,2980,HARVEY CRES,,MISSISSAUGA,L5L 4V7,Second Unit,2015-06-30,64
14-011350,4480,HAYDOCK PARK DR,,MISSISSAUGA,L5M 3C4,Second Unit,2014-10-17,65
14-009446,5252,HERITAGE HILLS BLVD,,MISSISSAUGA,L5R 3G9,Second Unit,2015-01-16,66
15-001249,1521,HIGHBROOK AVE,,MISSISSAUGA,L5M 4V1,Second Unit,2015-01-19,67
14-011669,3622,HOLDEN CRES,,MISSISSAUGA,L4W 4S5,Second Unit,2015-01-16,68
15-002568,5278,HUNTINGFIELD DR,,MISSISSAUGA,L5R2K5,Second Unit,2015-12-17,69
15-009364,3036,ILOMAR CT,,MISSISSAUGA,L5N5B5,Second Unit,2015-11-19,70
14-012708,4150,INDEPENDENCE AVE,,MISSISSAUGA,L4Z 2T4,Second Unit,2014-11-25,71
15-006904,3541,ITALIA CR,,MISSISSAUGA,L5B3T7,Second Unit,2015-05-13,72
14-009447,3546,ITALIA CR,,MISSISSAUGA,L5B3T6,Second Unit,2014-09-19,73
14-012459,1467,ITHACA CRT,,MISSISSAUGA,L5Y 4L1,Second Unit,2015-02-11,74
15-002901,1113,IVANDALE DR,,MISSISSAUGA,L5V 1A9,Second Unit,2016-02-18,75
15-001884,4373,JENKINS CRES,,MISSISSAUGA,L5R 1V4,Second Unit,2015-11-04,76
15-002170,7160,JUSTINE DR,,MISSISSAUGA,L4T 1M3,Second Unit,2015-11-20,77
14-012772,5729,KELDREW AVE,,MISSISSAUGA,L5M 7B9,Second Unit,2015-04-24,78
15-009325,3104,KEYNES CR,,MISSISSAUGA,L5N3A1,Second Unit,2015-08-18,79
14-006076,3412,LADDIE CRES,,MISSISSAUGA,L4T 1N1,Second Unit,2015-01-21,80
14-011674,409,LAURENTIAN AVE,,MISSISSAUGA,L4Z 2J7,Second Unit,2014-11-05,81
15-001776,3070,LINDENLEA DR,,MISSISSAUGA,L5C 2C2,Second Unit,2015-04-28,82
14-012880,4153,LINGFIELD CRES,,MISSISSAUGA,L4W 3M3,Second Unit,2014-12-18,83
15-002452,5987,LONG VALLEY RD,,MISSISSAUGA,L5M 6K3,Second Unit,2016-02-16,84
14-012931,266,MANILA GATE,,MISSISSAUGA,L5B 3G1,Second Unit,2015-02-19,85
14-013442,3433,MARMAC CR,,MISSISSAUGA,L5L4Z8,Second Unit,2014-12-12,86
15-009280,6258,MCCRACKEN DR,,MISSISSAUGA,L5V1X9,Second Unit,2015-11-03,87
15-009093,3064,MCNAUGHTON AVE,,MISSISSAUGA,L4T1R7,Second Unit,2015-11-24,88
15-001875,4117,MELIA DR,,MISSISSAUGA,L5C 4J2,Second Unit,2015-08-14,89
14-012797,862,MELTON DR,,MISSISSAUGA,L4Y 1K8,Second Unit,2015-05-20,90
15-002368,1454,MONAGHAN CIR,,MISSISSAUGA,L5C1R8,Second Unit,2015-06-05,91
14-005192,3548,MONICA DR,,MISSISSAUGA,L4T2E5,Second Unit,2014-04-16,92
14-008027,3033,MORNING STAR DR,,MISSISSAUGA,L4T 1X1,Second Unit,2014-09-05,93
15-003813,3056,MORNING STAR DR,,MISSISSAUGA,L4T1X2,Second Unit,2015-04-07,94
15-001244,234,NAHANI WAY,,MISSISSAUGA,L4Z3J4,Second Unit,2015-02-04,95
15-009365,6538,OPERA GLASS CRES,,MISSISSAUGA,,Second Unit,2016-01-07,96
15-009580,3188,PARKERHILL RD,,MISSISSAUGA,L5B1V8,Second Unit,2015-10-26,97
15-002362,5687,PASSION FLOWER BLVD,,MISSISSAUGA,L5M 7E7,Second Unit,2015-12-08,98
14-007813,7491,PICKFAIR DR,,MISSISSAUGA,L4T2N1,Second Unit,2015-01-26,99
15-002002,2934,PICTON PL,,MISSISSAUGA,L5M 5S9,Second Unit,2016-02-01,100
15-001431,5700,PRAIRIE CIR,,MISSISSAUGA,L5N6B6,Second Unit,2015-03-10,101
15-009284,5214,PRESERVATION CIR,,MISSISSAUGA,,Second Unit,2016-02-09,102
14-009483,608,RAPHAEL AVE,,MISSISSAUGA,L5G1W8,Second Unit,2014-10-15,103
14-013072,7314,REDFOX RD,,MISSISSAUGA,L4T2L8,Second Unit,2014-12-03,104
14-013535,4055,RENFREW CR,,MISSISSAUGA,L5L4J3,Second Unit,2015-05-22,105
14-007841,5594,RIVER GROVE AVE,,MISSISSAUGA,L5M3T8,Second Unit,2014-08-01,106
15-011955,7508,ROCKHILL RD,,MISSISSAUGA,L4T 2Z7,Second Unit,2015-11-12,107
14-012935,5003,ROSEBUSH RD,,MISSISSAUGA,L5M 5M4,Second Unit,2015-01-23,108
14-012815,7613,ROSELLE CRES,,MISSISSAUGA,L4T 3J8,Second Unit,2015-08-17,109
15-009175,1526,SAMUELSON CIR,,MISSISSAUGA,,Second Unit,2015-12-18,110
14-012759,1757,SANDGATE CR,,MISSISSAUGA,L5J2E7,Second Unit,2015-01-16,111
14-013608,1468,SANDGATE CRES,,MISSISSAUGA,L5J 2E5,Second Unit,2015-02-02,112
14-013625,368,SARDINIA DR,,MISSISSAUGA,L5R 3X6,Second Unit,2015-09-04,113
15-000483,7186,SHALLFORD RD,,MISSISSAUGA,L4T2P7,Second Unit,2015-02-04,114
14-008836,1042,SHAW DR,,MISSISSAUGA,L5G 3Z4,Second Unit,2014-11-13,115
15-001869,6003,SIDMOUTH ST,,MISSISSAUGA,L5V 2X2,Second Unit,2015-11-19,116
14-008790,5568,SPANGLER DR,,MISSISSAUGA,L5R 3M5,Second Unit,2015-06-26,117
14-013665,5211,SPRINGBOK CR,,MISSISSAUGA,L4Z3J8,Second Unit,2015-04-07,118
15-005946,1079,STRATHY AVE,,MISSISSAUGA,L5E 2J9,Second Unit,2015-11-18,119
15-009313,4278,SUGARBUSH RD,,MISSISSAUGA,L5B2X7,Second Unit,2015-12-10,120
15-000693,2796,TALLBERG CRT,,MISSISSAUGA,L5J1T1,Second Unit,2015-02-03,121
15-009936,3435,TESTIMONY SQ,,MISSISSAUGA,L5B3G5,Second Unit,2015-12-16,122
14-012323,899,THISTLE DOWN CIR,,MISSISSAUGA,L5C 3K5,Second Unit,2014-12-08,123
15-009179,4375,TRAILMASTER DR,,MISSISSAUGA,L5V1E4,Second Unit,2015-07-30,124
14-012929,4400,TRAILMASTER DR,,MISSISSAUGA,L5V 1E2,Second Unit,2015-04-24,125
15-010021,3279,TWILIGHT RD,,MISSISSAUGA,L4T1Z8,Second Unit,2015-10-13,126
15-002417,1149,VANROSE ST,,MISSISSAUGA,L5V1L2,Second Unit,2015-07-29,127
15-011413,7155,VILLAGE  WALK,,MISSISSAUGA,L5M 1X2,Second Unit,2015-11-04,128
15-001757,639,WARHOL WAY,,MISSISSAUGA,,Second Unit,2015-06-15,129
14-007584,3277,WAXWING DR,,MISSISSAUGA,L5N 5Y6,Second Unit,2014-06-17,130
14-013024,1337,WESSON CRT,,MISSISSAUGA,L5V 2E6,Second Unit,2014-11-26,131
14-008369,2346,WHALEY DR,,MISSISSAUGA,L5B 2B5,Second Unit,2014-07-25,132
16-001842,5555,WHISTLER CRES,,MISSISSAUGA,L4Z 3R5,Second Unit,2016-02-09,133
15-002798,879,WILLOWBANK TRAIL,,MISSISSAUGA,L4W 3T6,Second Unit,2015-03-23,134
16-001450,2817,WINDJAMMER RD,,MISSISSAUGA,L5L1T4,Second Unit,2016-01-28,135
14-013773,596,WINTERTON WAY,,MISSISSAUGA,L5R3J3,Second Unit,2015-06-17,136
14-003292,3804,WOODRUFF CR,,MISSISSAUGA,L4T1T9,Second Unit,2014-09-10,137
15-003560,7607,WRENWOOD CR,,MISSISSAUGA,L4T2V8,Second Unit,2015-05-20,138
14-013666,7643,WRENWOOD CR,,MISSISSAUGA,L4T2V8,Second Unit,2015-01-21,139
14-012802,4764,YARMAROK CRT,,MISSISSAUGA,L5R 0A3,Second Unit,2015-11-25,140
,,,,,,,,141
